,Name,style,IBU,ABV,Description
1,Vicinity,IPA - Imperial / Double,65 IBU,8% ABV,"Originally brewed in celebration of the first anniversary of Row 34, our favorite Fort Point oyster bar and craft-beer purveyor, Vicinity highlights a"
8,Galaxy Dry Hopped Fort Point,Pale Ale - American,45 IBU,6.6% ABV,"This version of our signature American pale ale is dry hopped with the pungent Galaxy variety. Enticingly hazy and blonde in appearance with frothy carb,"
22,Launch Beer,Pale Ale - American,68 IBU,5.7% ABV,"First brewed to commemorate the grand opening our new facility in Canton, MA. This special pale ale signifies a collective milestone for the entire Trillium"
25,Julius,IPA - American,72 IBU,6.8% ABV,"Bursting with pungent American hops, Julius - our flagship American IPA - is a bright, juicy beer filled with flavors and aromas of mango, peach, passionfruit,"
26,Haze,IPA - Imperial / Double,90 IBU,8.2% ABV,"Our Double IPA! We smell a ton of peach on the nose, with complimentary notes of orange and passionfruit. The flavor is similar with a blast of citrus"
27,Green,IPA - American,90 IBU,7.5% ABV,"Our cross-continental IPA! Made with Australian and American hops, this tropical heavy IPA opens up in the glass with notes of hugely flavorful notes"
28,Alter Ego,IPA - American,72 IBU,6.8% ABV,"Alter Ego is a member of the Julius family, taking the base of Julius and adding a tremendous amount of Mosaic to the dry hop with a kiss of Amarillo."
29,Doppelgänger,IPA - Imperial / Double,88 IBU,8.2% ABV,This beer is an imperial version of Alter Ego. It is intensely kettle and dry hopped to produce a pungent and flavorful Double IPA that is super pleasant
31,Sap,IPA - American,80 IBU,7.3% ABV,"Though originally brewed as a ""Christmas"" beer, this piney IPA, brewed almost exclusively Chinook hops, was so enjoyable we decided to put it into the"
32,Bright,IPA - Imperial / Double,75 IBU,7.8% ABV,Bright was created to be a clean and elegant showcase for one of our favorite hops - Mosaic! It is crafted with a simple malt bill and fermented with
33,JJJULIUSSS!,IPA - American,75 IBU,6.8% ABV,"Julius gone wild (not funky wild, like insane hop saturation wild)! For the second special edition of Julius brewed specifically for the third anniversary"
34,King Julius,IPA - Imperial / Double,85 IBU,8.2% ABV,"King Julius is an American Double IPA brewed to be an exceptionally flavorful, juicy, and hop saturated beer while never tiring the palate. Its vivid"
37,Juice Machine,IPA - Imperial / Double,70 IBU,8.2% ABV,Juice Machine was originally devised and brewed to support our very first trip to Extreme Beer Festival in 2014. It is essentially a marriage of the King
39,Very Hazy,IPA - Imperial / Double,80 IBU,8.6% ABV,"A kicked up version of Haze, our Double IPA, Very Hazy is a beer that makes us Very Happy! Very Hazy conveys all the beautiful flavors of Haze, but with"
49,That's What She Said,Stout - Milk / Sweet,28 IBU,5.6% ABV,"A sneakily complex beer, ""TWSS"" exhibits flavors of milk chocolate, dark roasted coffee, caramel, and even a hint of smoke. It is absolutely loaded with"
100,Gertrude's Ghost,IPA - New England / Hazy,24 IBU,7% ABV,Juicy fruit and citrus are dominant in aroma and flavor with low bitterness for dangerously drin
109,Buttons the Bear,Stout - Oatmeal,20 IBU,6% ABV,"A rich, roasted character from the roasted barley with a smooth clean finish, this stout also contains flaked oats to give you that full mouth feel. This"
111,Oktoberfest Marzen,Märzen,16 IBU,6% ABV,"Our Marzen is a traditional, well balanced, malt forward Oktoberfest. We used primarily Pilsen and light caramel grains with Herschb"
114,Loaded For Bear,IPA - Imperial / Double,81 IBU,9% ABV,"Loaded for Bear - An Imperial IPA with big hop flavor and a pronounced bitterness. We brewed this IPA with Gambrinus ESB, Honey, Gambrinus Vienna and"
118,7 West,Bock - Single / Traditional,18 IBU,7% ABV,"Big malt character dominates this wickedly smooth lager. A wickedly smooth lager still nicely balanced with Mittelfruh hops. A favorite of our Brewmaster,"
120,Hawk Watch,IPA - American,56 IBU,7% ABV,"Big hops is the name of the game for this IPA, but don`t let the hoppy characteristics shy you away from this delicious IPA. Thanks to the addition of"
121,Well Made IPA,IPA - American,56 IBU,7% ABV,The classic American IPA is “well-made.” The big hop flavor and floral aroma of ygis brew comes from the generous use of Cascade and Amarillo hops. Easy
122,Pumpkin Patches,Pumpkin / Yam Beer,20 IBU,5.5% ABV,"This is a very approachable pumpkin beer, it is well balanced with just the right amount of homemade pumpkin spice. We received our pumpkins from Great"
123,Steep Slopes,IPA - American,40 IBU,7% ABV,"The slight reddish hue comes from the use of Red X, a relatively new malt from Germany. The us of Simcoe hops smooths out the pronounced piney character"
125,2 Hopper,IPA - American,67 IBU,6.4% ABV,What looks like an easy play turns into trouble when the ball makes a few extra hops than the fielder intended. The 2 Hopper has just enough hops for
126,Knuckle Bock,Bock - Single / Traditional,20 IBU,6.5% ABV,We bet you didn’t see this one coming. This is a one-of-a-kind bock that’s packed full of rich flavors yet is surprisingly smooth. Baffle your friends
127,6-4-3,Pale Ale - Belgian,26 IBU,5% ABV,"Not only a pitcher's best friend but also a great beer to share in a pinch with your best friends. A routine 6-4-3 provides a breath of fresh air, and"
128,Airmail,Blonde Ale,12 IBU,5% ABV,We've all seen it before. A player is too relaxed or overzealous and sends an easy throw to the first baseman into the stands. Airmail is crisp and refreshing.
129,"3 Up, 3 Down",IPA - Imperial / Double,85 IBU,8.6% ABV,"It’s the bottom of the ninth, and you need someone dependable to seal the victory. Like a reliable closer, you expect your Imperial IPA to be a strong"
131,Czech Swing,Pilsner - Czech,33 IBU,5.4% ABV,"Here's a judgment call that everyone will agree on. The light, crisp flavor is as sharp as the batter at the plate. Perceptive beer-drinkers and batters"
133,Chin Music,Pale Ale - American,38 IBU,5.4% ABV,"You won’t want to back off from this one. The volume of citra hops in Chin Music is as reckless as a heater thrown high and inside, resulting in an explosive"
