,Name,style,IBU,ABV,Description
4,Bishop's Barrel No. 17,Saint Arnold Brewing Company,30,13.2,"Adambier Aged in Bourbon Barrels

Bishop’s Barrel No. 17 pours a mahogany color with ruby highlights. It is a slightly hazy beer with pronounced toffee and honey aromas, and chocolate when it's cold. The smoke from the base beer is subtle, and as it warms up, it becomes more in balance with the rest of the flavors. The wood character blends well with the smoked malt.

The whiskey plays the supporting role in this beer. At first sip, the honey and chocolate are well balanced, with the whiskey finishing it off. This is indeed a dessert beer. The smoke provides just enough to balance the sweetness. Perfectly paired with a bar of chocolate smothered in toffee and honey, next to the fire while wearing your finest velvet smoking jacket. Read Less"
5,Adam,Hair of the Dog Brewing Company,50,10.0,"Adam is a recreation of a historic beerstyle. Originally made in Dortmunder, Germany, it was the first beer I produced when I opened Hair of the Dog. Rich in flavor, Adam is best served as a dessert beer. It is great with chocolate or cigars, or just a warm fire and good company"
8,Dortmunder Adambier,Blue Pants Brewery,50,12.7,"A recreation of a historical German style, the Dortmunder Adambier became extinct after the implementation of the Reinheitsgebot. Brewed with a substantial amount of dark, smoked malts, traditional German hops, and fermented with Brettanomyces, the Adambier was aged in oak barrels for one year. Read Less"
10,Arcanum (Singularis #1) (Hillrock Estate Solera Whiskey Barrel),OEC Brewing (Ordinem Ecentrici Coctores),46,11.0,"Arcanum is our Adambier. Adambier is an extinct German ale style that was brewed around Dortmund. It was reminiscent of a strong altbier brewed to about 11% abv & was fairly well hopped for its time. It was then matured & soured in oak barrels.

This Singularis version was matured in small 100L Hillrock Estate Solera Whiskey barrels for 7 months. This beer is still but may develop a hint of carbonation over time"
11,Thurston Adambier,New Helvetia Brewing Company,18,12.0,"Germany has always brewed; and before their lagers forever changed the way the world looked at beer, the German city of Dortmund was known for a strong, dark ale known as Adambier, the progenitor beer. Brewed with copious amounts of dark malt and fermented at low temperatures for months, or even years. Adambier is a style that has been unjustly forgotten, and it has been a pleasure to reconstruct this historical beer. Ours is a deep, tawny color that’s boozy, with hints of vanilla. Gentle whisps of ripe plums and caramel meld with the deep undertones of chocolate and tobacco, with lush aromas of sherry and honey"
16,Wild Sour Series: Adambier,DESTIHL Brewery,40,9.0,"Adambier is a very complex, dark and historically obscure German-style sour ale. The initial impression of rich, dark chocolate malt with touches of fig-like and raisin-like flavors gives way to the caramel-toasty and lightly smoky malt character with low hop presence and bitterness, all sharply cut by a wild lactic sour finish and topped off with tannins from wood aging"
17,Deacon's Nightcap,Figueroa Mountain Brewing Co.,33,10.5,"Deacon’s Nightcap is a collaboration between Figueroa Mountain and the Maltose Falcons homebrew club. Founded in 1974, the Maltose Falcons are the oldest homebrew club in California. The club was active in the 1978 in efforts to legalize homebrewing in the state of California. The current club continues to be recognized as one of the premier homebrewing clubs in the US and produces outstanding quality beer.
Adambier is a rare style that tastes like a cross between an English Barley wine and a doppelbock. What should you look for in an Adambier? Malt, malt, and more malt. Just as a big Belgians will showcase esters and yeast complexity, and a double IPA displays the hops, an Adambier defines complex maltiness. The malt is caramelized and roasty, but those flavors come with a long boil and fermentation, not with the use of roast or caramel malts. The recipe for this collaboration is based on the club’s Vice President, John Aitchison’s infamous homebrew version. Read Less"
24,Who The F%&# Is Adam,Inbound BrewCo,10,9.1,"What the F%&# is an Adambier? This dark, fruity, funky concoction was brewed as a dark dortmunder, kettle soured with lactobacillus brevis, and fermented in oak barrels with ten strains of brettanomyces yeasts. We still have no idea who the F%&# Adam is, though"
26,Du Hast Mich Gefrogt! German-style Sour Dark Adambier,Hoppin' Frog Brewery,60,8.2,"Fermented with ale yeast, lager yeast, and other things, a wild mix of uber-good flavors is created in this ancient German-style sour Dark Adambier from centuries ago. Working in collaboration with our friend, historian, and brewmaster Sebastian Sauer from Freigeist Brewery in Cologne, Germany we made this old-style beer style with a wide array of German malts for a rich, authentic taste. Prost - Cheers!"
29,Bourbon Barrel Aged Balt The More,Union Craft Brewing,36,10.0,"Limited edition, 700 cans. Batch 500. A nod to the German tradition of the ""Sticke"" or ""Secret"" recipe Altair, this Sticke Alt has been aged in American Oak Whiskey barrels for 5 months. The result is a full-bodied Altbier with oak and vanilla notes to blend in harmony with the old world German malts and hops. Serve at 50°F"
30,Barrel Roll No. 7 - Tailslide (2013),Hangar 24 Craft Brewing,44,10.5,"It’s with heightened awareness that one attempts a maneuver as daring as the Tailslide, and with equal poise that we bring you this bourbon barrel-aged version of our popular 4th Anniversary Ale. Originally crafted as a doubled version of our alt-bier with a percentage of barrel-aged stout blended in, our Dopplesticke is now 100% conditioned in barrels to fully complement its substantial caramel malt profile. Abundant whiskey aromatics and spicy flavors blend pleasantly with the delicate esters of this strong ale, resulting in an ambitious balance of beer and spirit. - See more at: http://hangar24brewery.com/co_barrel_tailslide.htm#sthash.e3rJnUSF.dpuf Read Less"
31,Amber Apple Pie Ale,Frye Brewing,29,5.0,"This is a variation on the ""I DO"" Brew amber ale infused with baked granny smith apples soaked in cinnamon and b"
