,IBU,ABV,Description,type,SRM
0,65,8.0,"Originally brewed in celebration of the first anniversary of Row 34, our favorite Fort Point oyster bar and craft-beer purveyor, Vicinity highlights a neighborhood collaboration of passion and vision. The beer's appearance is a yellow straw-color, with a significant haze. Heavy citrus aromas of pineapple, orange flesh and mango dance on the nose and palate. The pilsner malt provides a medium body and wraps up each sip with a slight balancing bitterness",0,11
3,72,6.8,"Bursting with pungent American hops, Julius - our flagship American IPA - is a bright, juicy beer filled with flavors and aromas of mango, peach, passionfruit, and a melange of citrus juice. A soft, pillowy mouthfeel and rounded bitterness ensure Julius will never tire the palate - a true joy to drink",0,6
4,90,8.2,"Our Double IPA! We smell a ton of peach on the nose, with complimentary notes of orange and passionfruit. The flavor is similar with a blast of citrus fruit & peach quickly followed by a bounty of tropical fruit. A lingering and pleasant saturated hop oil finish awaits. . . . A real juice bomb of a beer",0,9
5,90,7.5,"Our cross-continental IPA! Made with Australian and American hops, this tropical heavy IPA opens up in the glass with notes of hugely flavorful notes of lemon-lime, pineapple, orange sorbet, and tangerine. It has a soft but pointed bitterness and a rich, velvety mouth feel. Intensely kettle and dry hopped yet balanced and flavorful, Green is a beloved crew favorite here at Tree House",0,5
6,72,6.8,"Alter Ego is a member of the Julius family, taking the base of Julius and adding a tremendous amount of Mosaic to the dry hop with a kiss of Amarillo. What results is a beer with all the deliciousness of Julius with a pungent additional layer of citrusy complexity. Over time, Alter Ego has become a truly singular member of the Tree House family",0,10
7,88,8.2,This beer is an imperial version of Alter Ego. It is intensely kettle and dry hopped to produce a pungent and flavorful Double IPA that is super pleasant to drink. It is simply and easily described as a juicy and dank citrus bomb,0,8
8,80,7.3,"Though originally brewed as a ""Christmas"" beer, this piney IPA, brewed almost exclusively Chinook hops, was so enjoyable we decided to put it into the 'year round' rotation. With it's golden yellow color, rich aroma, and drying body, it's hard to stop drinking this one.

Sap is a deceptively soft beer brimming with distinctive notes of grapefruit, mango, pine, and earthy spice. With waves of diverse flavor, it is perhaps our most complex IPA. It is the result of our uncompromising dedication to fresh, progressive, delightful beer. We hope you enjoy it with laughter, good cheer and in the company of those you love",0,7
9,75,7.8,"Bright was created to be a clean and elegant showcase for one of our favorite hops - Mosaic! It is crafted with a simple malt bill and fermented with clean American Ale yeast to create a flavor profile that is more a function of its vibrant fresh ingredients than an expression of yeast character. BrightÃ¢ÂÂs aroma is a cornucopia of citrus dankÃ¢ÂÂ¦ The taste follows suit with notes of grapefruit, sweet berries, and clementine with a gentle orange rind finish. She is dry, soft, and adequately bittered resulting in a very approachable yet pungent Double IPA",0,7
10,75,6.8,"Julius gone wild (not funky wild, like insane hop saturation wild)! For the second special edition of Julius brewed specifically for the third anniversary party, we pushed the level of citrus to the fringes of obscenity through additional kettle and dry hopping with the base Julius hop blend. The result is perhaps the most juicy and delectable creation we have ever made! Preposterous Julius, in the best way imaginable",0,7
11,85,8.2,"King Julius is an American Double IPA brewed to be an exceptionally flavorful, juicy, and hop saturated beer while never tiring the palate. Its vivid citrus aromas give way to flavors of orange creamsicle, mango smoothie, and a bounty of fresh tropical fruit. We find it to be supremely soft in the midst of an onslaught of flavor...a beer we are quite proud of",0,5
